ASFIS species Name En,Continent Name En,Country Name En,Inland/Marine areas Name En,Unit Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
Blue mussel,Europe,Germany,Marine areas,Tonnes - live weight,14274,13490,22037,15864,16856,22264,10875,5280,5036,6933,20830,4905,3600,6896,10539,3670,9470,12474,28549,8018,11638,24122,37912,31213,22330,38028,17782,4868,24666,50800,29977,20237,18556,29725,25926,29939,20818,59311,31634,16967,10566,10760,3422,11760,11154,22692,17042,15860,10400,8100,5600,9600,6700,11400,11300,11500,7600,5300,4800,5800,10000,13200,14700,9900,6000,5100,10000,5700,7800,11200,6000,6400
Blue mussel,Europe,Iceland,Marine areas,Tonnes - live weight,0,0.06,0.064,108,82.7,68,93,144,166,63,46,32,49,10,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue mussel,Europe,Ireland,Marine areas,Tonnes - live weight,17440,14729,15184,13889,16340,15121,16015,11374.5,15360,15188,22671,22234,26802,27060,37435,33243,38265,37315,39289,31703,30373,25660,16111,19096,16094,14500,11000,12967,13657,13822,15300,18380,13560,12648,14892,10575,10358,13717,5739,5282,4658,4558,2939,3018,3501,3971,3652,3465,3000,5200,4600,3500,2700,2400,1200,800,900,900,900,300,800,2000,1500,2400,2300,2000,1300,700,800,700,700,1100
Blue mussel,Europe,Netherlands (Kingdom of the),Marine areas,Tonnes - live weight,32850,32400,38200,45500,44000,53000,54100,54100,37112,40000,36700,56227,45617.7,36082,43731,31300,59500,67200,56200,45061,48600,66800,100800,113185,93244,94496,79772,104952,65981,51223,49254,98845,107000,77596,98367,85896,116252,60149,119643,130271,109448,76972,97414,118485,109328,73310,112126,98719,113000,116200,95700,86000,105900,113600,85600,92400,110500,115800,89700,96500,85400,77600,68200,75500,63400,50600,51800,63200,57300,47400,43000,31900
Blue mussel,Europe,Norway,Marine areas,Tonnes - live weight,,2033.17,2134.245,1648.569,2382.868,2176.4,2731.03,1983.3,2328.442,1966.9,1742.46,1930,1649.1,2034,2661,3714,4885,3747,1829,2557,920,852,662,309,502,184,388,542,,,,77,43,87,127,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue mussel,Europe,Sweden,Marine areas,Tonnes - live weight,3457,2297,1977,1986,2014,2317,1525,1746,1702,1308,1470,1382,2125,1911,1168,1791,1069,1435,1742,1382,1444,443,925,455,1425,1821,1521,2095,737,1353,1643,1163,241,858,2556,325,415,1278,1580,1548,557,39,41,45,30,42,32,58,0,0,100,200,400,500,500,700,500,600,800,800,500,500,600,500,400,400,300,300,300,600,500,500
Blue mussel,Europe,United Kingdom,Marine areas,Tonnes - live weight,,,,,,10000,11256.3,20023.4,22480,26021,26158,30212,31929,28247,25669,23960,28506,30699,19218,17580,17332,11107,9535,8956,13127,8347,5801,4017,4211,3880,4826,2044,2278,2124,2185,1561,1204,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilean mussel,Americas,Chile,Marine areas,Tonnes - live weight,424294,399097,379097,365595.16,338846,300648,208707,238088,241841,244137,288583,221522,166952,187064,153433,126952,87736,77461,57809,41797,34648,23477,16203,11911,8635,6064,5595,3772,2900,3352,2822,2103,2299,2227,1410,1606,983,975,309,1389,582,300,250,200,200,288,200,213,183,157,135,116,100,90,70,60,50,50,40,30,30,30,20,20,20,20,10,10,10,10,10,10
Chinese mitten crab,Asia,China,Inland waters,Tonnes - live weight,808274,775887,778682,756877,750945,748725,747195,722576,663517,650619,613596,572337,564911,518357,489469,439604,378360,358906,317941,294045,248126,202489,151303,110561,93756,62631,41515,31227,17641,9509,8433,4833,3305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese mitten crab,Asia,"Korea, Republic of",Inland waters,Tonnes - live weight,0.65,0,0,10,10,10,5,13,8,12,11,5,12,8,10,11,16,35,14,16,21,15,12,8,31,0,1,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese mitten crab,Asia,Taiwan Province of China,Inland waters,Tonnes - live weight,18.104,29.308,51.362,62.571,48.072,70.442,152.3,73.74,98.956,74,8.4,17,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constricted tagelus,Asia,China,Marine areas,Tonnes - live weight,859651,860265,869251,852925,862541,799282,760249,751994,689889,690395,709929,693333,675912,742084,667058,610601,624409,591813,588652,556957,524727,487735,426610,375957,331923,342519,306749,252886,222819,198598,165230,140326,138467,140673,133597,126175,125717,110006,88999,73401,64865,62158,58050,50000,47934,32777,28166,24060,22420,24311,20396,16942,12816,9988,7928,6109,5005,3090,2842,2339,2261,2889,1606,897,1247,645,478,337,215,108,66,14
Elkhorn sea moss,Africa,Mozambique,Marine areas,Tonnes - live weight,0,0,0,,,,,,,,,,230,700,690,150,360,920,2100,1570,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhorn sea moss,Africa,"United Republic of Tanzania, Zanzibar",Marine areas,Tonnes - live weight,350,897,966,1290,260,11.5,5840,5330,2008,904,621,128,205.75,165,637.5,1900,4280,3940,4170,7860,10480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhorn sea moss,Americas,Brazil,Marine areas,Tonnes - live weight,1080,1000,1000,700,700,700,700,700,700,700,700,700,500,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhorn sea moss,Americas,Ecuador,Marine areas,Tonnes - live weight,100,0.4,60,60,60,60,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elkhorn sea moss,Americas,Saint Kitts and Nevis,Marine areas,Tonnes - live weight,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhorn sea moss,Americas,Saint Vincent/Grenadines,Marine areas,Tonnes - live weight,13,13.07,0.24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhorn sea moss,Americas,Venezuela (Boliv Rep of),Marine areas,Tonnes - live weight,4500,4500,4275,100,,,,,,,,,,,,,,,,,25,95,160,160,36,32,40,15,54,5,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhorn sea moss,Asia,Malaysia,Marine areas,Tonnes - live weight,178873.3,182061,188110,174083.2,202965.58,205989,260760.3,245332,269431.2,331490,239450,200000,133000,106000,86000,57000,38000,29400,24000,18000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhorn sea moss,Asia,Myanmar,Marine areas,Tonnes - live weight,,0,11.422,1356.1,171.255,29.94,2324,2100,1600,3200,2336.4,2094.1,1200,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhorn sea moss,Asia,Philippines,Marine areas,Tonnes - live weight,1296454.418,1404743.358,1423168.406,1405412.922,1330290,1301153,1457865,1434714,1428707,1608401,1697682,1669247,1621584,1556423,1399405,1385276,1233186,1114413,902382,799373,688089,644319,653277,639207,630375,638853,562003,440669,357997,311060,252566,259146,239142,228201,196548,150259,162385,126430,117661,96752,73855,118130,94373,75009,22685,12000,14000,16000,5000,3000,3000,1000,1000,1000,1000,1000,1000,,,,,,,,,,,,,,,
Elkhorn sea moss,Asia,Sri Lanka,Marine areas,Tonnes - live weight,218,421.7,246.8,322,692,199,4760,9,25,22.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhorn sea moss,Asia,Viet Nam,Marine areas,Tonnes - live weight,613,951.54,1545,5372.6,1036.5,1824.5,3359,4610,5066,6029,4399,4779,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhorn sea moss,Oceania,Papua New Guinea,Marine areas,Tonnes - live weight,4300,4300,4300,4300,4300,4000,4000,3000,2500,1400,250,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elkhorn sea moss,Oceania,Solomon Islands,Marine areas,Tonnes - live weight,12455.74,5500,5600,5520,4780,10580,12200,12162.4,11812,6990.4,7217.6,7104,4028.8,1159.2,865.6,1353.6,2608.8,1711.2,400,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elkhorn sea moss,Oceania,Tonga,Marine areas,Tonnes - live weight,,0.2,,,,,,,,,0,0,0,0,,0,80,30,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucheuma seaweeds nei,Africa,Madagascar,Marine areas,Tonnes - live weight,11658,8084.51,8864.59,5337,17407.2,17423,15377,6970,3575,1400,1699,4000,3600,3650,3650,5300,900,800,800,700,700,700,,,,,,,,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucheuma seaweeds nei,Americas,Grenada,Marine areas,Tonnes - live weight,22,22,22,20,18,22.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucheuma seaweeds nei,Americas,Saint Kitts and Nevis,Marine areas,Tonnes - live weight,,,,,0.5,0,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucheuma seaweeds nei,Americas,Saint Lucia,Marine areas,Tonnes - live weight,204.17,82.49,102.5,45,14,5.3,2.3,20.6,26,14.9,10.9,15.4,12.1,6.8,10,5.2,14,5,20,16,28,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucheuma seaweeds nei,Americas,Saint Vincent/Grenadines,Marine areas,Tonnes - live weight,,,,,1.1,1.4,1.4,1.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucheuma seaweeds nei,Asia,Cambodia,Marine areas,Tonnes - live weight,1000,1000,2000,2200,2200,2235,2000,,,,,,,,,6810,18000,16840,7800,3650,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucheuma seaweeds nei,Asia,China,Marine areas,Tonnes - live weight,9160,38560,4200,18200,56290,51140,47940,40963,88590,91878,58907,62362,65139,67240,86840,84080,93192,85588,64013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucheuma seaweeds nei,Asia,Indonesia,Marine areas,Tonnes - live weight,7058254.148,8080796,8471758,10192000,9488547,9691900.99,10112107,8971463,8323263,5738688,4539413,3399436,2791688,1937591,1485654,1050000,866383,397964,221900,213080,202473,197227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucheuma seaweeds nei,Asia,Timor-Leste,Marine areas,Tonnes - live weight,700,700,700,700,750,600,550,800,1100,400,300,1500,450,400,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucheuma seaweeds nei,Oceania,Fiji,Marine areas,Tonnes - live weight,73,159.4,200,300,450,550,570,1050,170,430,450,560,440,660,650,1190,450,450,250,800,3200,5200,15090,2100,,,,,1650,2400,3450,6300,6000,5000,10850,8650,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucheuma seaweeds nei,Oceania,Kiribati,Marine areas,Tonnes - live weight,0,0,0,0,150,0,3510,6930,2250,8280,4290,4745,1787.8,1082.5,1112,8837,5000,3904,3904,4248,9264,11174,9396,5938,7376,9480,5248,3168,1632,3472,8168,5080,1192,411,324,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucheuma seaweeds nei,Oceania,Micronesia (Fed. States),Marine areas,Tonnes - live weight,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusiform sargassum,Asia,China,Marine areas,Tonnes - live weight,310900,265330,270320,232460,199970,183650,181081,167664,145021,107574,106099,75900,78572,87480,136260,114230,85573,115214,75936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusiform sargassum,Asia,"Korea, Republic of",Marine areas,Tonnes - live weight,20180.26,27575,33477,36200,54624,32762,28243,16563,13335,14378,25880,21133,19533,17701,20909,21125,30058,22814,33661,11016,6873,12091,22940,25220,34475,23054,37679,31669,27621,18163,11408,23920,20168,23871,11572,13289,8497,4325,2633,1434,1497,1225,925,738,581,468,376,300,240,191,153,122,97,78,74,74,64,63,51,40,32,26,21,16,13,10,8,7,5,0,0,0
Giant river prawn,Africa,Malawi,Inland waters,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5,5,5,3,3,6,6,6,8,6,5,4,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant river prawn,Africa,Mauritius,Inland waters,Tonnes - live weight,2.3,1.6,1.3,0,0.32,0.02,0.09,0.5,3.3,2.8,3,3,4,4,5,3,8,6,10,27,19,31,25,28,44,62,53,63,42,55,47,42,50,48,48,27,25,23,24,30,25,16,15,5,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Giant river prawn,Africa,Réunion,Inland waters,Tonnes - live weight,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,4,4,4,3,3,3,2,2,3,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
