"","Region","Year","Score"
"1","Africa",2021,47.0439315615225
"2","Africa",2020,47.196137856187
"3","Africa",2019,47.3166339412645
"4","Africa",2018,47.4367701236059
"5","Africa",2017,47.5594615485951
"6","Africa",2016,47.7027770236785
"7","Africa",2015,48.4214499428078
"8","Africa",2014,48.0264459737455
"9","Africa",2013,47.8914944378317
"10","Africa",2012,48.5662435281683
"11","Africa",2011,48.3400824800639
"12","Africa",2010,48.3875201147824
"13","Africa",2009,48.8713858215368
"14","Africa",2008,49.2576104837487
"15","Africa",2007,49.4548351035741
"16","Africa",2006,49.4247501660433
"17","Africa",2005,50.0400970770658
"18","Africa",2004,50.7278478318547
"19","Africa",2003,51.9580372233797
"20","Africa",2002,52.7222458710454
"21","Africa",2001,52.105096405935
"22","Africa",2000,50.8241136445253
"23","Africa",1999,51.488331516054
"24","Africa",1998,52.899213716335
"25","Africa",1997,53.6716487398319
"26","Africa",1996,55.2200865798185
"27","Africa",1995,54.6806377259465
"28","Africa",1994,53.6928547542947
"29","Africa",1993,53.1516067075602
"30","Africa",1992,53.7212320819706
"31","Africa",1991,54.8672328241488
"32","Africa",1990,52.5986338936346
"33","Africa",1989,51.1538640660132
"34","Africa",1988,50.7531117964367
"35","Africa",1987,50.2634232464089
"36","Africa",1986,50.3026211209797
"37","Africa",1985,50.1745994692797
"38","Africa",1984,51.0891544791669
"39","Africa",1983,50.5973521203361
"40","Africa",1982,50.6276344680482
"41","Africa",1981,50.6491796303085
"42","Africa",1980,50.6338084772059
"43","Africa",1979,50.6140018984041
"44","Africa",1978,50.6000265992974
"45","Africa",1977,50.579493270091
"46","Africa",1976,50.5455814468575
"47","Africa",1975,50.5175250224863
"48","Africa",1974,50.5373686012632
"49","Africa",1973,50.5578072617578
"50","Africa",1972,50.5046170590709
"51","Africa",1971,50.4816426724956
"52","Africa",1970,50.4298990959217
"53","Africa",1969,50.3853034849483
"54","Africa",1968,50.3882065336278
"55","Africa",1967,50.4147253779345
"56","Africa",1966,50.4792877738991
"57","Africa",1965,50.5337412919366
"58","Africa",1964,50.6615120517739
"59","Africa",1963,50.6083218519894
"60","Africa",1962,50.5637549787095
"61","Africa",1961,50.5873706106602
"62","Africa",1960,50.5761115959468
"63","Africa",1959,50.6319236821695
"64","Africa",1958,50.64178820414
"65","Africa",1957,50.6295375987909
"66","Africa",1956,50.7365642556466
"67","Africa",1955,50.8253807972919
"68","Africa",1954,50.9756373310899
"69","Africa",1953,51.1543517788732
"70","Africa",1952,51.5623273811125
"71","Africa",1951,51.8969713926782
"72","Africa",1950,52.1948569236181
"73","Americas",2021,39.3978567955673
"74","Americas",2020,40.0036258444264
"75","Americas",2019,40.1109076741837
"76","Americas",2018,40.5954396569692
"77","Americas",2017,40.8850911820331
"78","Americas",2016,40.8937293204565
"79","Americas",2015,40.6272227789778
"80","Americas",2014,41.2594779074578
"81","Americas",2013,41.2612066495666
"82","Americas",2012,41.3246618827418
"83","Americas",2011,41.284458712161
"84","Americas",2010,41.0738771263895
"85","Americas",2009,41.8318344468557
"86","Americas",2008,41.3418398355742
"87","Americas",2007,41.6337096582896
"88","Americas",2006,41.6856157930107
"89","Americas",2005,41.9133214573853
"90","Americas",2004,42.3144066853593
"91","Americas",2003,42.5370849657691
"92","Americas",2002,43.3969098694052
"93","Americas",2001,43.7773042917088
"94","Americas",2000,43.725358161119
"95","Americas",1999,42.5454620158854
"96","Americas",1998,42.7537003406157
"97","Americas",1997,43.4253103123713
"98","Americas",1996,43.5662536490335
"99","Americas",1995,42.0937227730526
"100","Americas",1994,42.1272898076225
"101","Americas",1993,41.8118487832721
"102","Americas",1992,40.8143073018358
"103","Americas",1991,41.2290378979758
"104","Americas",1990,41.4563002198068
"105","Americas",1989,41.4543140271533
"106","Americas",1988,40.8972254234752
"107","Americas",1987,40.3403853896311
"108","Americas",1986,41.1895153375722
"109","Americas",1985,41.8860929950249
"110","Americas",1984,41.6063593846263
"111","Americas",1983,40.7250725298357
"112","Americas",1982,41.8832359397713
"113","Americas",1981,42.7410882863889
"114","Americas",1980,43.1356020108263
"115","Americas",1979,43.1162325965003
"116","Americas",1978,43.4723805282262
"117","Americas",1977,43.4913200538308
"118","Americas",1976,43.5367709252754
"119","Americas",1975,43.7397718586197
"120","Americas",1974,43.7510007384136
"121","Americas",1973,43.8739557853181
"122","Americas",1972,43.9284853328027
"123","Americas",1971,43.8626116631086
"124","Americas",1970,44.0931610659043
"125","Americas",1969,43.9156966959023
"126","Americas",1968,43.8941266854209
"127","Americas",1967,43.9270746283254
"128","Americas",1966,43.8159244769866
"129","Americas",1965,43.7506080946812
"130","Americas",1964,43.7044304756421
"131","Americas",1963,43.826143548342
"132","Americas",1962,43.9052653937934
"133","Americas",1961,43.8708619957758
"134","Americas",1960,43.9600940547665
"135","Americas",1959,44.1321014063097
"136","Americas",1958,44.0324289546244
"137","Americas",1957,44.0376763335823
"138","Americas",1956,44.0774652108395
"139","Americas",1955,44.2209293998637
"140","Americas",1954,44.2771032506576
"141","Americas",1953,44.2444831921968
"142","Americas",1952,44.3147078314129
"143","Americas",1951,44.3632277475998
"144","Americas",1950,45.4527533931937
"145","Asia",2021,46.2405873257793
"146","Asia",2020,46.339970406844
"147","Asia",2019,46.4802986268912
"148","Asia",2018,46.1411024977471
"149","Asia",2017,46.4823527064551
"150","Asia",2016,46.9613517045425
"151","Asia",2015,47.1795759984101
"152","Asia",2014,47.1703060509013
"153","Asia",2013,47.4451688703078
"154","Asia",2012,47.3368009999873
"155","Asia",2011,47.1725604943415
"156","Asia",2010,47.4690610796735
"157","Asia",2009,47.2999274407971
"158","Asia",2008,47.3438805829672
"159","Asia",2007,47.5742973916595
"160","Asia",2006,47.62192679081
"161","Asia",2005,47.7656621466196
"162","Asia",2004,47.96931688775
"163","Asia",2003,49.2439485481588
"164","Asia",2002,49.8248248760858
"165","Asia",2001,49.9016093027227
"166","Asia",2000,49.0810264604559
"167","Asia",1999,49.5438250837129
"168","Asia",1998,49.680980014551
"169","Asia",1997,49.6516986898454
"170","Asia",1996,50.4081579743296
"171","Asia",1995,50.3862185551088
"172","Asia",1994,51.1119521411002
"173","Asia",1993,51.6803039479286
"174","Asia",1992,51.7829878801445
"175","Asia",1991,51.5536434398563
"176","Asia",1990,51.8650936429695
"177","Asia",1989,52.9676527195859
"178","Asia",1988,52.9673304351851
"179","Asia",1987,52.8680502169792
