"","Region","Year","Score"
"1","Africa",2021,48.5168128961918
"2","Africa",2020,48.5423627379329
"3","Africa",2019,48.6326496926998
"4","Africa",2018,48.694752741735
"5","Africa",2017,48.5922592902546
"6","Africa",2016,48.7064641091534
"7","Africa",2015,48.9070217174264
"8","Africa",2014,48.7823265144401
"9","Africa",2013,48.703722399667
"10","Africa",2012,48.9285546302217
"11","Africa",2011,48.7136629977352
"12","Africa",2010,48.6927022469984
"13","Africa",2009,48.8758356131463
"14","Africa",2008,48.9918675402119
"15","Africa",2007,49.1368741116929
"16","Africa",2006,49.1992922504564
"17","Africa",2005,49.2808313513857
"18","Africa",2004,49.5231276790545
"19","Africa",2003,50.163078171749
"20","Africa",2002,50.2785627922791
"21","Africa",2001,50.335727036856
"22","Africa",2000,49.7820279282907
"23","Africa",1999,50.0477123819857
"24","Africa",1998,50.0585615953247
"25","Africa",1997,50.1180993881881
"26","Africa",1996,50.1491214838863
"27","Africa",1995,49.982021523433
"28","Africa",1994,49.7592180067375
"29","Africa",1993,49.7282606644242
"30","Africa",1992,49.9616048210728
"31","Africa",1991,50.1953571374711
"32","Africa",1990,50.0570576487547
"33","Africa",1989,49.9357360749452
"34","Africa",1988,49.8933080137847
"35","Africa",1987,49.9257200677821
"36","Africa",1986,49.9241093303694
"37","Africa",1985,49.937882709264
"38","Africa",1984,49.9790820654558
"39","Africa",1983,49.9818118344741
"40","Africa",1982,49.9927767808312
"41","Africa",1981,49.9762048016377
"42","Africa",1980,49.9754164778839
"43","Africa",1979,49.9748597899365
"44","Africa",1978,49.9754619578976
"45","Africa",1977,49.9741961394948
"46","Africa",1976,49.9712205052612
"47","Africa",1975,49.9609750577474
"48","Africa",1974,49.9640163773998
"49","Africa",1973,49.9656803387449
"50","Africa",1972,49.9720752985586
"51","Africa",1971,49.9650233288848
"52","Africa",1970,49.9646744981741
"53","Africa",1969,49.9662930020476
"54","Africa",1968,49.9541106043255
"55","Africa",1967,49.9575947343725
"56","Africa",1966,49.9783354025121
