"","Country","Year","Score"
"1","China",2021,52.1535462657449
"2","China",2020,52.2055075240302
"3","China",2019,52.320536424551
"4","China",2018,52.4799939295154
"5","China",2017,52.6779401912323
"6","China",2016,52.80503684772
"7","China",2015,52.8935582382413
"8","China",2014,52.8953298741312
"9","China",2013,52.7682407279864
"10","China",2012,52.7777270358344
"11","China",2011,52.8096056992344
"12","China",2010,52.8215637887011
"13","China",2009,52.7925405369998
"14","China",2008,52.8823938794593
"15","China",2007,52.9317990453226
"16","China",2006,53.0765880751449
"17","China",2005,53.0917584732711
"18","China",2004,53.1464009085222
"19","China",2003,53.2203999656213
"20","China",2002,53.5457563656546
"21","China",2001,53.5168081769034
"22","China",2000,53.5736985252593
"23","China",1999,53.7744540340668
"24","China",1998,53.7186390555937
"25","China",1997,53.7702716758835
"26","China",1996,53.8418952989396
"27","China",1995,53.90810823636
"28","China",1994,54.1124541477727
"29","China",1993,54.2855819202448
"30","China",1992,54.231708221361
"31","China",1991,54.0603492627128
"32","China",1990,53.7718760468304
"33","China",1989,53.946161379882
"34","China",1988,53.6756548149072
"35","China",1987,53.6208260819696
"36","China",1986,53.9515781691444
"37","China",1985,54.3334431779769
"38","China",1984,54.5285431920301
"39","China",1983,54.7252008389906
"40","China",1982,54.8016891094553
"41","China",1981,54.9296914664023
"42","China",1980,55.1141021921086
"43","China",1979,55.1478730211743
"44","China",1978,55.2237171157068
"45","China",1977,55.1355424440653
"46","China",1976,54.8785812067245
"47","China",1975,54.9097968893903
"48","China",1974,54.8761871743241
"49","China",1973,54.8732377072878
"50","China",1972,55.043087981364
"51","China",1971,54.920401767105
"52","China",1970,54.7898398805421
"53","China",1969,54.9342923831758
"54","China",1968,54.886298402934
"55","China",1967,54.864966751869
"56","China",1966,54.8287308324531
"57","China",1965,54.669542189801
"58","China",1964,54.8665939397452
"59","China",1963,54.7247622014462
"60","China",1962,54.6864651857818
"61","China",1961,54.6045980347801
"62","China",1960,54.3225661134229
"63","China",1959,53.8201540954545
"64","China",1958,53.2786468395867
"65","China",1957,53.1004998410068
"66","China",1956,53.043593880734
"67","China",1955,53.0431144795555
"68","China",1954,53.0231434414881
"69","China",1953,53.0153699919334
"70","China",1952,53.0086927887905
"71","China",1951,52.9974749907504
"72","China",1950,52.9968429015244
"73","Norway",2021,47.7414723821867
"74","Norway",2020,47.7614995659063
"75","Norway",2019,47.7459785188949
"76","Norway",2018,47.7299768015922
"77","Norway",2017,47.733245287667
"78","Norway",2016,47.7658305290331
"79","Norway",2015,47.7372377229021
"80","Norway",2014,47.7337052225132
"81","Norway",2013,47.7471431602063
"82","Norway",2012,47.7450262231924
"83","Norway",2011,47.7341356904532
"84","Norway",2010,47.7413276292222
"85","Norway",2009,47.7935636453442
"86","Norway",2008,47.848924489693
"87","Norway",2007,47.8303284391739
"88","Norway",2006,47.8273472395201
"89","Norway",2005,47.8340206265395
"90","Norway",2004,47.851774588637
"91","Norway",2003,47.884731956679
"92","Norway",2002,47.9621107989375
"93","Norway",2001,47.9300890931517
"94","Norway",2000,47.8390652998425
"95","Norway",1999,47.8447649009605
"96","Norway",1998,47.8774086991398
"97","Norway",1997,47.818967880603
"98","Norway",1996,47.7746841453287
"99","Norway",1995,47.7363598036769
"100","Norway",1994,47.7675287798858
"101","Norway",1993,47.7278969106044
"102","Norway",1992,47.7266035432668
"103","Norway",1991,47.6934332063579
"104","Norway",1990,47.6730684045658
"105","Norway",1989,47.6865570989149
"106","Norway",1988,47.8512301528941
"107","Norway",1987,47.9700874461342
"108","Norway",1986,47.8197346277591
"109","Norway",1985,47.9418804111466
"110","Norway",1984,47.9236567115788
"111","Norway",1983,48.1381489234691
"112","Norway",1982,48.2782589613314
"113","Norway",1981,48.3934927879282
"114","Norway",1980,48.6239094200702
"115","Norway",1979,48.5041952838064
"116","Norway",1978,48.433720600248
"117","Norway",1977,48.6170289880163
"118","Norway",1976,48.9059955043268
"119","Norway",1975,49.0577227709495
"120","Norway",1974,49.2423124073915
"121","Norway",1973,49.488657790785
"122","Norway",1972,49.4621216012121
"123","Norway",1971,49.4039184775894
"124","Norway",1970,49.5801598683333
"125","Norway",1969,49.6699016236065
"126","Norway",1968,49.7184304810959
"127","Norway",1967,49.7533729393711
"128","Norway",1966,49.7655389145098
"129","Norway",1965,49.7868193330693
"130","Norway",1964,49.8048775917471
"131","Norway",1963,49.80852536
"132","Norway",1962,49.80852536
"133","Norway",1961,49.80852536
"134","Norway",1960,49.80852536
"135","Norway",1959,49.80852536
"136","Norway",1958,0
"137","Norway",1957,49.80852536
"138","Norway",1956,0
"139","Norway",1955,0
"140","Norway",1954,0
"141","Norway",1953,0
"142","Norway",1952,0
"143","Norway",1951,0
"144","Norway",1950,0
"145","Chile",2021,49.5862993898077
"146","Chile",2020,49.4405368287536
"147","Chile",2019,49.4577301374618
"148","Chile",2018,49.7453320239704
"149","Chile",2017,49.5806598851703
"150","Chile",2016,49.8396227425919
"151","Chile",2015,48.9947867385023
"152","Chile",2014,49.1033772282764
"153","Chile",2013,49.427683827708
"154","Chile",2012,49.5156858006755
"155","Chile",2011,50.155860600344
"156","Chile",2010,50.4225620309553
"157","Chile",2009,49.5555460767952
"158","Chile",2008,49.5293426890315
"159","Chile",2007,49.2761325466939
"160","Chile",2006,48.8831287980982
"161","Chile",2005,48.4647538441846
"162","Chile",2004,48.5350916762483
"163","Chile",2003,48.4913454464593
"164","Chile",2002,48.4227206658081
"165","Chile",2001,47.9793334378667
"166","Chile",2000,47.8704605690634
"167","Chile",1999,47.7880675380345
"168","Chile",1998,48.3508834275676
"169","Chile",1997,48.7857534739325
"170","Chile",1996,48.8732978850591
"171","Chile",1995,48.5441346930067
"172","Chile",1994,49.2367860583307
"173","Chile",1993,49.2004205282116
"174","Chile",1992,49.41305539359
"175","Chile",1991,50.1168799172901
"176","Chile",1990,49.9923901237479
"177","Chile",1989,51.2135170690514
"178","Chile",1988,51.5906943340983
"179","Chile",1987,51.611323219141
"180","Chile",1986,51.7899739474746
"181","Chile",1985,52.3209611803205
"182","Chile",1984,52.9607886602482
"183","Chile",1983,52.4856286071639
"184","Chile",1982,53.2759448015153
"185","Chile",1981,53.5402292536114
"186","Chile",1980,52.892641959372
"187","Chile",1979,53.0460153957834
"188","Chile",1978,53.0279296141335
"189","Chile",1977,53.7795026283379
"190","Chile",1976,54.3433495655068
"191","Chile",1975,54.3467271187773
"192","Chile",1974,54.7346185609536
"193","Chile",1973,54.9454461325
"194","Chile",1972,55.7230622321809
"195","Chile",1971,56.0106820908163
"196","Chile",1970,56.2341272491525
"197","Chile",1969,56.29267705
"198","Chile",1968,56.29267705
"199","Chile",1967,56.29267705
"200","Chile",1966,56.29267705
"201","Chile",1965,56.29267705
"202","Chile",1964,56.29267705
"203","Chile",1963,56.29267705
"204","Chile",1962,56.29267705
"205","Chile",1961,56.29267705
"206","Chile",1960,56.29267705
"207","Chile",1959,56.29267705
"208","Chile",1958,56.29267705
"209","Chile",1957,56.29267705
"210","Chile",1956,56.29267705
"211","Chile",1955,56.29267705
"212","Chile",1954,56.29267705
"213","Chile",1953,56.29267705
"214","Chile",1952,56.29267705
"215","Chile",1951,56.29267705
"216","Chile",1950,56.29267705
"217","Nigeria",2021,46.7937179904183
"218","Nigeria",2020,46.8009190961139
"219","Nigeria",2019,46.8009190958924
"220","Nigeria",2018,46.7794714252452
"221","Nigeria",2017,46.8449352709152
"222","Nigeria",2016,46.9127725798956
"223","Nigeria",2015,46.9382859687513
"224","Nigeria",2014,46.9388983429857
"225","Nigeria",2013,46.82326725347
"226","Nigeria",2012,46.8235901023126
"227","Nigeria",2011,46.6710451996541
"228","Nigeria",2010,46.610128590358
"229","Nigeria",2009,46.846053723272
"230","Nigeria",2008,46.7514258776576
"231","Nigeria",2007,46.6325564026563
"232","Nigeria",2006,46.6324710352978
"233","Nigeria",2005,46.7556092612513
"234","Nigeria",2004,46.6764296531925
"235","Nigeria",2003,47.719069830835
"236","Nigeria",2002,48.1375736271139
"237","Nigeria",2001,48.2653936139969
"238","Nigeria",2000,49.5906794641158
"239","Nigeria",1999,49.6039298694169
"240","Nigeria",1998,49.6151107196054
"241","Nigeria",1997,49.7044274553911
"242","Nigeria",1996,49.9981835641082
"243","Nigeria",1995,48.199100677117
"244","Nigeria",1994,48.2575228284694
"245","Nigeria",1993,48.5130545738983
"246","Nigeria",1992,48.4402081420123
"247","Nigeria",1991,49.5851710044718
"248","Nigeria",1990,49.6272722409638
"249","Nigeria",1989,49.7627450051992
"250","Nigeria",1988,49.8203017261965
"251","Nigeria",1987,49.6002580786981
"252","Nigeria",1986,49.6003116061263
"253","Nigeria",1985,49.5813846213515
"254","Nigeria",1984,49.606017829714
"255","Nigeria",1983,49.5916892136027
"256","Nigeria",1982,49.5878331135136
"257","Nigeria",1981,49.5843157287784
"258","Nigeria",1980,49.5808228750823
"259","Nigeria",1979,49.5776271392462
"260","Nigeria",1978,49.5745904353961
"261","Nigeria",1977,49.5717323050648
"262","Nigeria",1976,49.5691157918456
"263","Nigeria",1975,49.5667798856564
"264","Nigeria",1974,49.564547512505
"265","Nigeria",1973,49.5639735960398
"266","Nigeria",1972,49.5616922648062
"267","Nigeria",1971,49.5592294458587
"268","Nigeria",1970,49.5565723997022
"269","Nigeria",1969,49.55055604
"270","Nigeria",1968,49.55055604
"271","Nigeria",1967,49.55055604
"272","Nigeria",1966,49.55055604
"273","Nigeria",1965,49.55055604
"274","Nigeria",1964,49.55055604
"275","Nigeria",1963,49.55055604
"276","Nigeria",1962,49.55055604
"277","Nigeria",1961,49.55055604
"278","Nigeria",1960,49.55055604
"279","Nigeria",1959,49.55055604
"280","Nigeria",1958,49.55055604
"281","Nigeria",1957,49.55055604
"282","Nigeria",1956,49.55055604
"283","Nigeria",1955,49.55055604
"284","Nigeria",1954,49.55055604
"285","Nigeria",1953,49.55055604
"286","Nigeria",1952,49.55055604
"287","Nigeria",1951,49.55055604
"288","Nigeria",1950,49.55055604
