year,score,group,score_type,dataset
1957,56.2270712221577,Algae,f,f_1
1958,55.94388024457265,Algae,f,f_1
1959,56.11431302477748,Algae,f,f_1
1960,56.156382647403426,Algae,f,f_1
1961,56.21221812448749,Algae,f,f_1
1962,56.2184114404526,Algae,f,f_1
1963,56.14342618916972,Algae,f,f_1
1964,56.121338949959004,Algae,f,f_1
1965,56.15703078367488,Algae,f,f_1
1966,55.94331210101728,Algae,f,f_1
1967,55.80914282470926,Algae,f,f_1
1968,55.58796495151971,Algae,f,f_1
1969,55.79143406820139,Algae,f,f_1
1970,55.735276511006774,Algae,f,f_1
1971,55.771316389128955,Algae,f,f_1
1972,55.67169354723354,Algae,f,f_1
1973,55.4192146156186,Algae,f,f_1
1974,55.16933756924077,Algae,f,f_1
1975,55.48183395701318,Algae,f,f_1
1976,55.354512075620434,Algae,f,f_1
1977,55.507560770238754,Algae,f,f_1
1978,55.68410589644983,Algae,f,f_1
1979,55.658505452795666,Algae,f,f_1
1980,55.59752415805517,Algae,f,f_1
1981,55.411327112330724,Algae,f,f_1
1982,55.4654727096913,Algae,f,f_1
1983,55.581788471459966,Algae,f,f_1
1984,55.59208066097352,Algae,f,f_1
1985,55.62473750693314,Algae,f,f_1
1986,55.441726509098416,Algae,f,f_1
1987,55.53187951068199,Algae,f,f_1
1988,55.632922610884,Algae,f,f_1
1989,55.6880764475872,Algae,f,f_1
1990,55.60567665951387,Algae,f,f_1
1991,55.75680182850555,Algae,f,f_1
1992,55.771149017960155,Algae,f,f_1
1993,55.86286299818719,Algae,f,f_1
1994,55.910024498587546,Algae,f,f_1
1995,55.92816041521498,Algae,f,f_1
1996,55.99431291265382,Algae,f,f_1
1997,55.91687429577511,Algae,f,f_1
1998,56.08138362791992,Algae,f,f_1
1999,56.137236295968854,Algae,f,f_1
2000,56.13828097137108,Algae,f,f_1
2001,56.18770122942519,Algae,f,f_1
2002,56.157593907912386,Algae,f,f_1
2003,55.20741952635081,Algae,f,f_1
2004,55.00047073684814,Algae,f,f_1
2005,54.967590646717746,Algae,f,f_1
2006,55.18016352061154,Algae,f,f_1
2007,55.26910133062433,Algae,f,f_1
2008,55.25118039341157,Algae,f,f_1
2009,55.34740289559771,Algae,f,f_1
2010,55.39150955566893,Algae,f,f_1
2011,55.24311941647712,Algae,f,f_1
2012,55.107602267703136,Algae,f,f_1
2013,55.04306746161558,Algae,f,f_1
2014,55.075357414894484,Algae,f,f_1
2015,55.10728044952351,Algae,f,f_1
