ASFIS species Name En,Continent Name En,Country Name En,Inland/Marine areas Name En,Unit Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
Atlantic salmon,Europe,United Kingdom,Marine areas,Tonnes - live weight,205000,192129,203881,156025,189707,162817,171722,179022,163234,162543,158305,154625,144654,128744,130104,131973,129823,158099,145609,145609,138519,128959,126686,110917,99422,83342,70320,64266,48791,36302,40657,32004,28603,17951,12721,10337,6921,3912,2536,2152,1133,598,520,378,115,209,393,372,401,213,216,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantic salmon,Oceania,Australia,Marine areas,Tonnes - live weight,84045.234,66918.495,56989.34,61227,52580.2,56115.197,48330.56,41590.66,42825.01,43982,36662.04,31806.79,29893,25736.9,25336,20710,16780,16476,15208,14356,12724,10907,9195,7069,7648,7647,6192,4000,3500,3300,2650,1750,1750,240,53,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Asia,Bahrain,Marine areas,Tonnes - live weight,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Asia,Brunei Darussalam,Marine areas,Tonnes - live weight,107.17,125.005,104.214,83.2,185,106.65,86.82,75.27,41.56,20,30,33,30,28,31,36,30,43,20,23,,6,41,74,69,72,74,51,26,8,0,3,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Asia,Cambodia,Marine areas,Tonnes - live weight,870,1000,950,950,850,800,200,200,150,140,140,120,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Asia,"China, Hong Kong SAR",Marine areas,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,144,207,210,211,187,224,167,170,23,34,105,67,100,100,105,100,95,90,83,70,72,59,46,25,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barramundi(=Giant seaperch),Asia,India,Marine areas,Tonnes - live weight,5700,5311,4400,4250,3900,3600,3000,2000,1500,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Asia,Indonesia,Marine areas,Tonnes - live weight,2823.635,2249,1487,9835,8177,7890.22,6558,5446.56,6735.275,6198.23,5235.72,5738,6399.65,4371,4417,2183,2935,4663,5483,4461,9305,4720,5741,2039,2483,4401,1815,2381,2622,1916,1539,2267,2645,1356,1384,798,813,733,1105,966,883,850,745,571,659,500,107,146,21,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barramundi(=Giant seaperch),Asia,Israel,Marine areas,Tonnes - live weight,100,100,100,70,70,40,40,60,150,,70,70,70,67,100,115,90,15,,66,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Asia,Kuwait,Marine areas,Tonnes - live weight,,,,,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
