year,total_production,group
1950,365599.9,All
1951,438095.22,All
1952,495013.72,All
1953,581787.7600000001,All
1954,688087.7200000001,All
1955,777118.54,All
1956,819897.4200000002,All
1957,1117674.7,All
1958,1101063.54,All
1959,1343642.6400000001,All
1960,1464582,All
1961,1396821.44,All
1962,1397174.5599999998,All
1963,1565314.38,All
1964,1750076.08,All
1965,1896348.26,All
1966,2096896.32,All
1967,2179047.7600000002,All
1968,2278077.5400000005,All
1969,2424761.92,All
1970,2557578.7,All
1971,2929270.62,All
1972,3225667.9599999995,All
1973,3374566.78,All
1974,3759811.86,All
1975,3860057.9,All
1976,3912620.7199999993,All
1977,4644357.819999999,All
1978,4948420.380000001,All
1979,5033234.259999999,All
1980,5548901.700000001,All
1981,5724769.5600000005,All
1982,5997419.260000001,All
1983,6697575.8,All
1984,7535423.78,All
1985,8254715.259999999,All
1986,8932330.86,All
1987,9599207.180000002,All
1988,10646823.12,All
1989,11283041.680000002,All
1990,11305149.08,All
1991,12408353.84,All
1992,14567446.739999998,All
1993,16749367.640000002,All
1994,18476525.16,All
1995,20184107.359999996,All
1996,22441332.12,All
1997,22869622.24,All
1998,23026615.020000003,All
1999,24633896.24,All
2000,24773349.41,All
2001,26148159.710000005,All
2002,27553342.80800001,All
2003,31202829.939999998,All
2004,34083006.194,All
2005,36319627.963199995,All
2006,37874082.07039999,All
2007,39747935.7192,All
2008,42137640.260400005,All
2009,44177173.105,All
2010,45999326.74819999,All
2011,47910875.3612,All
2012,51632935.089200005,All
2013,53767310.87759998,All
2014,58586306.5276,All
2015,60932583.03,All
2016,62902432.80780001,All
2017,65633125.2218,All
2018,67360024.3094,All
2019,71462637.70039998,All
2020,73665195.70239998,All
2021,76457006.23380001,All
2022,78213450.2498,All
2023,81814984.0982,All
1950,231930,Finfish
1951,281915,Finfish
1952,309690,Finfish
1953,374633,Finfish
1954,486067,Finfish
1955,548032,Finfish
1956,576618,Finfish
1957,805091,Finfish
1958,790510,Finfish
1959,862839,Finfish
1960,794341,Finfish
1961,683931,Finfish
1962,647248,Finfish
1963,704130,Finfish
1964,780776,Finfish
1965,907450,Finfish
1966,950928,Finfish
1967,957129,Finfish
1968,996045,Finfish
1969,1062920,Finfish
1970,1140993,Finfish
1971,1226528,Finfish
1972,1297481,Finfish
1973,1375501,Finfish
1974,1486801,Finfish
1975,1578034,Finfish
1976,1591374,Finfish
1977,1679450,Finfish
1978,1718556,Finfish
1979,1857682,Finfish
1980,2027440,Finfish
1981,2316044,Finfish
1982,2599985,Finfish
1983,2926347,Finfish
1984,3336038,Finfish
1985,3947079,Finfish
1986,4611597,Finfish
1987,5297403,Finfish
1988,5829458,Finfish
1989,5936743,Finfish
1990,6486931,Finfish
1991,6543184,Finfish
1992,7184786,Finfish
1993,8305982,Finfish
1994,9642116,Finfish
1995,11294634,Finfish
1996,12831303,Finfish
1997,13478724,Finfish
1998,13813997,Finfish
1999,14636902,Finfish
2000,15225114,Finfish
2001,16223183.4,Finfish
2002,16738978,Finfish
2003,17921143,Finfish
2004,19486253.4,Finfish
2005,20662758.830000002,Finfish
2006,21687414.59,Finfish
2007,22932561.13,Finfish
2008,24892923.78,Finfish
2009,26234589.28,Finfish
2010,27555966.509999994,Finfish
2011,28508763.259999994,Finfish
2012,30397086.12,Finfish
2013,31752355.439999998,Finfish
2014,33386510.150000002,Finfish
2015,34760541.760000005,Finfish
2016,35691334.800000004,Finfish
2017,36663701.94,Finfish
2018,38112944.14000001,Finfish
2019,39421005.730000004,Finfish
2020,40358785.379999995,Finfish
2021,41723685.99,Finfish
2022,43163077.45999999,Finfish
2023,44614506.25,Finfish
1950,34441,Algae
1951,36058,Algae
1952,53173,Algae
1953,50033,Algae
1954,57093,Algae
1955,73032,Algae
1956,83662,Algae
1957,132517,Algae
1958,131473,Algae
1959,291784,Algae
1960,460119,Algae
1961,509110,Algae
1962,521700,Algae
1963,588941,Algae
1964,693731,Algae
1965,721655,Algae
1966,880361,Algae
1967,943346,Algae
1968,980893,Algae
1969,1082715,Algae
1970,1138425,Algae
1971,1417380,Algae
1972,1594506,Algae
1973,1647121,Algae
1974,1924013,Algae
1975,1862658,Algae
1976,1906712,Algae
1977,2508193,Algae
1978,2773182,Algae
1979,2728277,Algae
1980,3011377,Algae
1981,2880560,Algae
1982,2842421,Algae
1983,3174241,Algae
1984,3560136,Algae
1985,3611036,Algae
1986,3552135,Algae
1987,3432813,Algae
1988,3907031,Algae
1989,4395855,Algae
1990,3829911,Algae
1991,4756252,Algae
1992,6077708,Algae
1993,6949199,Algae
1994,7243252,Algae
1995,7209895,Algae
1996,7896859,Algae
1997,7663750,Algae
1998,7367003,Algae
1999,7926755,Algae
2000,7449741,Algae
2001,7510250,Algae
2002,8162242,Algae
2003,10042370,Algae
2004,11067034.2,Algae
2005,11932958.8,Algae
2006,12071637.1,Algae
2007,12368307.5,Algae
2008,12686134.2,Algae
2009,13220822.75,Algae
2010,13540484.1,Algae
2011,14307475.55,Algae
2012,16020583.5,Algae
2013,16732661.2,Algae
2014,19510156.2,Algae
2015,20329216.3,Algae
2016,20961597.83,Algae
2017,22253388.88,Algae
2018,22199474.11,Algae
2019,24664207.619999997,Algae
2020,25556425.830000002,Algae
2021,26563120.310000002,Algae
2022,26484093.180000003,Algae
2023,28284723.720000003,Algae
1950,99141,Bivalve
1951,120028.01999999999,Bivalve
1952,132054.72,Bivalve
1953,156986.75999999998,Bivalve
1954,144822.72,Bivalve
1955,155919.54,Bivalve
1956,159442.49999999997,Bivalve
1957,179892.3,Bivalve
1958,178898.58,Bivalve
1959,188802.59999999998,Bivalve
1960,209905.08,Bivalve
1961,203555.52000000005,Bivalve
1962,228000.36,Bivalve
1963,271995.36,Bivalve
1964,275295.72000000003,Bivalve
1965,266932.68,Bivalve
1966,265201.44,Bivalve
1967,278057.64,Bivalve
1968,300416.76000000007,Bivalve
1969,277765.32,Bivalve
1970,276695.16,Bivalve
1971,283611.72000000003,Bivalve
1972,331470.7200000001,Bivalve
1973,349174.13999999996,Bivalve
1974,344909.88,Bivalve
1975,413472.77999999997,Bivalve
1976,406387.38000000006,Bivalve
1977,446738.04000000004,Bivalve
1978,445174.37999999995,Bivalve
1979,431358.48,Bivalve
1980,492110.22000000003,Bivalve
1981,503795.88,Bivalve
1982,518513.0999999999,Bivalve
1983,544179.3,Bivalve
1984,573684.3,Bivalve
1985,625939.02,Bivalve
1986,664825.5599999999,Bivalve
1987,712332.5999999999,Bivalve
1988,740559.9600000001,Bivalve
1989,748425.3,Bivalve
1990,760893,Bivalve
1991,817855.9199999999,Bivalve
1992,973000.1400000001,Bivalve
1993,1144988.88,Bivalve
1994,1197279.7200000002,Bivalve
1995,1266405.0000000002,Bivalve
1996,1296819.2999999998,Bivalve
1997,1310782.2,Bivalve
1998,1396748.64,Bivalve
1999,1576646.4,Bivalve
2000,1509960.27,Bivalve
2001,1703313.5700000003,Bivalve
2002,1836680.7480000001,Bivalve
2003,2016223.44,Bivalve
