year,total_production,group
1950,181552.9133,All
1951,218478.90799999997,All
1952,243877.0173,All
1953,288899.4283999999,All
1954,354991.0956999999,All
1955,399311.3684999999,All
1956,420201.7237999999,All
1957,579051.1531000001,All
1958,570910.1869000001,All
1959,667565.3694,All
1960,685984.8290000003,All
1961,634390.4688000001,All
1962,623747.7037000001,All
1963,690809.6236000003,All
1964,773001.7738,All
1965,855173.4192999998,All
1966,928523.0573999999,All
1967,955515.4822999997,All
1968,998923.6169000001,All
1969,1063996.2707,All
1970,1126861.6531999996,All
1971,1267211.7585,All
1972,1378464.0753000001,All
1973,1446144.1360999995,All
1974,1598873.7836000004,All
1975,1657478.1632999997,All
1976,1675582.3521000003,All
1977,1933228.9295000006,All
1978,2040577.3999000003,All
1979,2106529.2909999997,All
1980,2318557.7033,All
1981,2461598.6795000006,All
1982,2637229.2103999993,All
1983,2957517.4348,All
1984,3345611.9635,All
1985,3748689.6391000007,All
1986,4172337.762,All
1987,4611641.931,All
1988,5099679.480899999,All
1989,5360281.546899998,All
1990,5547162.4144,All
1991,5953398.442800001,All
1992,6847379.941399999,All
1993,7873313.0648,All
1994,8836194.929500002,All
1995,9852788.749800004,All
1996,10996783.111,All
1997,11310656.981000002,All
1998,11490861.125099996,All
1999,12266769.206849998,All
2000,12518809.730000004,All
2001,13329347.851950001,All
2002,13985996.095730001,All
2003,15728769.6327,All
2004,17199854.03985,All
2005,18341708.30384999,All
2006,19311871.2094,All
2007,20343294.80660001,All
2008,21694730.180878,All
2009,22789512.185170997,All
2010,23747276.283192992,All
2011,24781110.53344901,All
2012,26500236.941123005,All
2013,27566827.300875,All
2014,29717945.486916997,All
2015,30916837.246398,All
2016,31938326.551637996,All
2017,33316774.030498,All
2018,34442239.34161401,All
2019,36275989.35132,All
2020,37423329.8125,All
2021,38905741.38173599,All
2022,40082176.18127099,All
2023,41852060.070837,All
1950,138860.25999999998,Finfish
1951,168669.77999999997,Finfish
1952,185253.20999999996,Finfish
1953,224049.06000000003,Finfish
1954,290582.27999999997,Finfish
1955,327610.13999999996,Finfish
1956,344693.82,Finfish
1957,481010.52,Finfish
1958,472266.78,Finfish
1959,515491.07999999996,Finfish
1960,474625.30000000005,Finfish
1961,408807.63,Finfish
1962,386685.37,Finfish
1963,420590.8700000001,Finfish
1964,465931.21,Finfish
1965,541167.25,Finfish
1966,567007.92,Finfish
1967,570406.0199999999,Finfish
1968,592814.67,Finfish
1969,632611.47,Finfish
1970,678349.5100000001,Finfish
1971,727826.6500000001,Finfish
1972,768942.8200000001,Finfish
1973,815223.7699999998,Finfish
1974,880650.06,Finfish
1975,935192.17,Finfish
1976,942109.3299999998,Finfish
1977,993471.6700000003,Finfish
1978,1016056.8899999998,Finfish
1979,1096275.0899999999,Finfish
1980,1198054.9500000002,Finfish
1981,1370452.4300000002,Finfish
1982,1540439.2699999998,Finfish
1983,1734196.7199999997,Finfish
1984,1980665.68,Finfish
1985,2345064.0900000003,Finfish
1986,2741691.61,Finfish
1987,3147472.4499999997,Finfish
1988,3464683.1499999985,Finfish
1989,3532952.1299999994,Finfish
1990,3860650.7199999997,Finfish
1991,3892911.2399999993,Finfish
1992,4272901.489999999,Finfish
1993,4941136.409999998,Finfish
1994,5736063.1,Finfish
1995,6718753.270000002,Finfish
1996,7634959.640000001,Finfish
1997,8017810.94,Finfish
1998,8214989.9399999995,Finfish
1999,8700293.52,Finfish
2000,9043638.010000002,Finfish
2001,9637753.729999999,Finfish
2002,9936701.99,Finfish
2003,10626584.969999999,Finfish
2004,11552355.506,Finfish
2005,12241335.275,Finfish
2006,12854185.4226,Finfish
2007,13584870.540000005,Finfish
2008,14743104.6688,Finfish
2009,15538752.125800004,Finfish
2010,16308354.4515,Finfish
2011,16862129.653,Finfish
2012,17965881.9723,Finfish
2013,18767280.652899995,Finfish
2014,19727479.013199996,Finfish
2015,20527541.979599994,Finfish
2016,21062948.5988,Finfish
2017,21628083.2152,Finfish
2018,22489217.554300003,Finfish
2019,23259479.525000002,Finfish
2020,23827815.2565,Finfish
2021,24632639.9118,Finfish
2022,25485891.328500006,Finfish
2023,26342553.6735,Finfish
1950,10676.710000000001,Algae
1951,11177.98,Algae
1952,16483.63,Algae
1953,15510.23,Algae
1954,17698.83,Algae
1955,22639.920000000002,Algae
1956,25935.219999999998,Algae
1957,41080.27,Algae
1958,40756.63,Algae
1959,90453.04,Algae
1960,142636.88999999998,Algae
1961,157824.1,Algae
1962,161727,Algae
1963,182571.71000000002,Algae
1964,215056.61000000002,Algae
1965,223713.05,Algae
1966,272911.91000000003,Algae
1967,292437.26,Algae
1968,304076.82999999996,Algae
1969,335641.65,Algae
1970,352911.75,Algae
1971,439387.8,Algae
1972,494296.86,Algae
1973,510607.51,Algae
1974,596444.03,Algae
1975,577423.98,Algae
1976,591080.7200000001,Algae
1977,777539.83,Algae
1978,859686.42,Algae
1979,845765.87,Algae
1980,933526.87,Algae
1981,892973.6,Algae
1982,881150.51,Algae
