"","species","common_name","category","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"11","Gracilaria gracilis","Ogonori","Algae",93,93,93,124,124,124,124,155,155,155,155,155,155,155,186,193.75,201.19,214.83,228.78,242.73,257.3,338.52,356.81,392.77,426.25,470.58,518.63,599.54,761.05,884.74,1040.05,1236.9,1568.6,1003.47,2728,2332.44,2520.92,3713.18,8011.64,12055.9,14277.67,20682.89,18236.37,18498.32,24122.34,19598.82,37354.38,36864.89,25588.64,14060.36,17209.34,26530.42,28947.49,156128.4,254555.26,289287.04,326747.285,394477.79,429829.57,468695.82,513714.64,651311.86,831075.28,1040154.78,1127119.266,1167776.2,1317126.2237,1293998.6706,1074799.233,1469188.673,1605929.2359,1839427.6374,2350155.4832,2176685.5468
"12","Hypophthalmichthys molitrix","Silver carp","Finfish",17416.24,30824.68,35768.6,47813.46,72893.24,83650.5,88859.48,147872.16,145089.9,156261.86,131323.6,92331.36,83774.62,96041.62,107152.1,137668.8,140637.24,134577.98,131437.28,147880.86,157684.6,168230.74,169917.96,180683.92,195353.86,207947.4,206633.12,217033.1,217489.56,233984.76,260661.86,294384.8,350484.72,411529.14,486565.48,630501.76,744764.66,834233.14,920860.78,844882.52,881872.02,853856.28,948231.56,1104255.04,1287100.04,1498558.18,1696784.2,1756534.06,1743971.26,1739802.22,1760149.2,2019944.54,1967512.54,1964566.14,2064577.28,2140179.1142,2200202.8154,2093625.275,2199514.1176,2345420.356,2303740.4308,2277224.2054,2241028.1396,2463625.6146,2652673.3376,2733566.1174,2729336.9836,2723637.9384,2775675.724,2795907.4116,2840939.3772,2884727.6662,2942890.3214,2985676.5676
"13","Hypophthalmichthys nobilis","Bighead carp","Finfish",8877.48,14841.04,17606.48,23010.34,34039.62,38718.48,40751.96,67137.32,65951.8,71030.86,59841.5,42562.14,38866.38,44209.34,49172.4,62960.74,64414.8,61683,60451.08,67662.8,72467.52,77221.78,77756.54,82848.94,89225.46,94632.8,94311.48,97116.94,97897.62,104939.4,115162.48,130479.7,152655.42,179021.64,222004.86,293849.46,361407.28,380209.72,424243.32,383277.92,396039.66,412509.34,464829.4,535464.12,626548.48,730526.82,823765.3,840896.18,828924.4,828593.8,834574.18,847874.16,877465.76,974391.88,1064449.64,1119090.28,1208306.46,1267939.74,1358426.12,1417600.736,1457883.0526,1495578.4938,1545166.7074,1627086.789,1724323.1336,1803148.0046,1843496.4006,1834371.6666,1829913.0906,1832210.8534,1848545.608,1875750.3862,1926212.248,1980761.7178
"14","Kappaphycus alvarezii","Elkhorn sea moss","Algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,310,310,310,310,310,930,930,1550,4960,4340,3720,7032.35,23252.79,29255.63,36620.3,22895.05,29993.12,36474.91,39193.3,50339.35,46580.29,60929.88,70742.31,74134.02,80366.57,78295.46,96430.15,110995.81,136612.04,174233.33,198054.35,195427.41,199753.77,204115.47,201333.84,223709.64,257876.29,290811.62,358178.402,397889.588,449710.676,462705.411,517710.912,547382.0505,584087.151,605323.7475,607333.555,533621.352,529168.326,540823.923,471990.6364,478161.7723,494440.9542,503924.1797,496285.4697,463504.8545,564168.7365,550076.0094
"15","Labeo catla","Catla","Finfish",2244.02,2488.78,2760.8,3061.82,3396.48,3767.1,4178.32,4634.2,5139.96,5701.4,6323.74,7013.94,7779.54,8629.82,9572.32,10617.48,11777.48,13064.5,14491.3,16075.28,17830.94,19780.32,21941.4,24339.7,27000.16,29951.78,33225.88,36858.42,40887.68,45357.74,50315.58,55816.88,61917.9,68685.92,75001.54,82650,90262.5,105415,120567.5,135720,136446.74,168918.04,174665.84,198055.5,204827.58,259743.72,310632.92,343095.52,322053.7,352618.54,349345.6,281120.78,327636.78,339350.46,688540.62,764133.76,808814.06,1237678.82,1145401.98,1182690.006,1465323.6,1153259.82,1311131.644,1319571.804,1315567.8088,1341797.6012,1455602.0634,1570925.6558,1810637.5098,1906561.1172,2053386.18,2195226.4096,2404142.9838,2597804.1892
"16","Labeo rohita","Roho labeo","Finfish",2193.56,2435.42,2704.54,3002.08,3335.58,3706.2,4118,4583.16,5094.14,5666.02,6294.16,7003.5,7779.54,8650.12,9618.72,10707.38,11907.98,13251.84,14722.14,16375.14,18205.04,20239.68,22502.84,24999.74,27768.08,30858.32,34257.12,38152.4,42375.38,47116.3,52277.72,58084.68,64496,71605.64,78732.68,87197.2,95222.66,110244.66,125971.94,141444.02,141913.24,173476.84,191546.16,230947.88,245305.2,314571.12,373805.94,407356.04,382952.54,416836.14,425644.02,348715.14,388012.46,462054.1,801628.44,832799.38,948806.34,584161.5,690823.5,732141.076,657275.14,874496.8618,908299.9752,974382.0606,968005.79,1035486.8122,1068943.1436,1139179.8444,1176004.578,1156421.0984,1441086.0264,1495162.1582,1605845.42,1809987.6082
"17","Larimichthys crocea","Large yellow croaker","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26201.25,30054.81,31067.16,31878.57,31540.44,33648.27,33282.09,42469.74,38993.07,46485.48,51365.67,62349.54,72599.01,81359.79,90596.4,100969.8,115029.99,129571.62,129654.24,131418.33,143308.47
"18","Lateolabrax japonicus","Japanese seabass","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.58,0,0,502.11,381.15,549.99,1263.78,44960.58,45607.59,50128.47,57786.75,64849.05,61585.02,65009.07,66007.62,74997.09,76926.78,78019.2,77999.1219,81726.12,92838.0537,104794.452,109330.6851,115931.0376,125600.7564,128229.8472,139938.4854,157603.1499
"19","Lates calcarifer","Barramundi or Giant seaperch","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,5.2,7.8,63.44,65.52,68.12,74.88,74.88,30.16,37.44,62.4,145.6,140.4,361.92,455.52,431.08,596.96,655.72,729.56,823.16,1419.6,855.92,1024.4,1439.88,2022.28,2048.28,4456.92,5819.32,7878.52,7349.16,10388.04,9654.32,9811.36,9866.48,8635.12,10885.16,12001.6,10912.72,13907.4,13100.88,14922.96,15021.76,16321.76,16912.48,18047.12,22553.856,25413.934,34681.3844,35649.8844,40579.8848,39391.1648,38368.8292,41567.0112,33160.7276,44232.6976,56449.7232,53276.938,63445.6992,75398.4296,84357.364,92995.9004
"20","Macrobrachium nipponense","Oriental river prawn","Crustacean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39212.55,39019.5,38923.2,76108.95,82782.45,79790.4,86944.95,86578.65,92254.5,92700.45,97953.3,97923.15,97307.55,102743.55,105173.55,108256.95,107285.85,108332.55,105461.1,101394.45,102944.25,100985.85,101840.4,101876.4
"21","Macrobrachium rosenbergii","Giant river prawn","Crustacean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,33.3,71.55,115.2,180.9,261,391.5,589.05,837.9,1287.45,1747.8,2680.2,3372.75,5066.1,4540.5,6246.9,10826.1,11590.2,11917.35,13878.9,16899.3,14863.5,13123.8,14493.15,16125.75,27883.8,29982.15,36926.1,45679.05,58810.05,77227.65,75706.2,75383.55,86177.025,88136.172,89723.259,102067.3845,98611.308,99746.577,86903.5455,87900.8715,89988.7815,86556.996,91186.8525,91140.7545,110235.519,110329.839,116071.0155,124024.554,127796.0625,141376.977,151858.5165,160187.814
"22","Magallana gigas","Pacific cupped oyster","Bivalve",16035.0225,19631.65,21686.5125,27308.655,23167.0025,25406.4425,26627.965,29669.6775,28988.7725,29296.115,32360.725,30218.035,34515.7775,42635.79,39665.565,37780.7675,38615.72,39901.0975,42290.6075,38498.8675,33669.645,32775.1375,41995.1975,44745.6925,39995.805,50331.3925,54497.8775,54808.1225,54639.5625,54477.345,63133.5675,61482.5825,62040.185,66084.765,68572.745,74624.2425,76808.535,80499.5475,82309.31,75285.045,73798.2125,70805.305,73857.23,77673.695,66908.215,69414.04,68931.795,69345.5625,64741.1225,66307.98875,66612.6975,66494.82375,65628.11575,72414.6875,73663.80525,74157.42375,75302.03,78661.62,69021.02215,69056.096175,69286.872875,66385.329625,65726.081575,60156.399075,67365.293175,62240.3328,62476.8328,70284.1235,69608.5763,69694.330125,65377.5569,67523.0892,69341.31625,57044.667525
"23","Megalobrama amblycephala","Wuchang bream","Finfish",1912.84,3398.22,3943.42,5277.42,8059.68,9251.58,9826.94,16376.88,16059.62,17290.38,14487.82,10124.48,9130.36,10440,11605.22,14917.02,15216.88,14502.9,14085.88,15853.72,16876.26,17976.52,18010.16,19101.14,20602.76,21824.82,21476.82,22277.22,22102.06,23606,26158,29406,35032,41412,52548,69020,85608,101036,113042,83728.22,93737.28,88919.22,105279.28,126974.18,163342.5,194841.72,219905.84,234937.7,233771.9,242851.22,258630.7,272136.58,282987.8,263016.08,258818.04,276785.28,306916.86,334277.78,347781.34,357064.24,364921.5,371588.6,372837.92,385419.86,411984.44,419460.64,497845.32,483367.94,454449.72,442457.64,453407.46,443295.74,445058.94,428461.66
"24","Micropterus salmoides","Largemouth black bass","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,58,0,47.56,30.74,41.76,57.42,51.04,38.28,38.86,49.3,33.06,48.72,22.04,20.3,5.22,4.06,303.92,213.44,136.3,167.62,160.66,121.22,103.24,94.54,215.76,63450.84,68699.26,81368.78,83859.88,91698,96955.41,99858.078,104100.7606,114251.4682,128513.8712,179243.6176,185807.3732,186461.5668,202573.7696,265929.5534,251832.1778,278329.8838,360121.971,408032.1518,466170.737,517031.7374
